nid,title,alias,body_value
2,Конкурс проектов,,"<p><a href=""http://minsoc74.ru/polozhenie-ob-oblastnom-konkurse-proektov-v-sfere-socialnoy-podderzhki-semi-i-detey"">Положение&nbsp;об Областном конкурсе проектов в сфере социальной поддержки семьи и детей</a></p><p><a href=""http://minsoc74.ru/konkurs-proektov#overlay-context=""><span>Семинар-консультация «Технология подготовки заявительных документов для участия программ и проектов в конкурсных процедурах»</span></a></p><p><a href=""http://minsoc74.ru/prilozhenie-1-2"">Приложение 1</a></p><p><a href=""http://minsoc74.ru/prilozhenie-2-2"">Приложение 2</a></p><p><a href=""http://minsoc74.ru/zhurnal-registracii-i-rezultatov-organizacionno-pravovoy-ekspertizy-zayavok-na-uchastie-v-oblastnom#overlay-context=oblastnoy-konkurs-proektov-v-sfere-socialnoy-podderzhki-semi-..."">Регистрация заявок</a></p><p><a href=""http://minsoc74.ru/itogovyy-reyting-proektov#overlay-context="">Итоговый рейтинг проектов&nbsp;по результатам содержательной экспертизы конкурсных материалов учреждений и организаций, участвующих&nbsp;в Областном конкурсе проектов в сфере социальной поддержки семьи и детей</a></p><p><a href=""http://minsoc74.ru/sostav-konkurnoy-komissii"">Состав конкурсной комиссии Областного конкурса проектов в сфере социальной поддержки семьи и детей</a></p>"
4,Тест типографики,test-tipografiki,"<h1>Tests for common HTML elements</h1>            <hr />            <h2>Paragraphs &amp; Boxes</h2>                        <!--  ################### -->            <h5>Normal paragraph</h5>            <div class=""span-8"">              <p>Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>              <p>                <a href=""http://validator.w3.org/check?uri=referer""><img width=""88"" height=""15"" class=""top"" alt=""Valid HTML5"" src=""images/html5valid.png"" align=""left"" /></a>                Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor                 <sub>sub text</sub>                ut labore et                 <sup>sup text</sup>                magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.              </p>            </div>                        <!--  ################### -->            <h5>Different font size</h5>            <div class=""span-8"">              <p class=""small"">Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.</p>              <p>Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.</p>              <p class=""large"">Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.</p>            </div>                        <!--  ################### -->            <h5>Quote block</h5>            <div class=""span-8 last"">              <div class=""box"">                <p class=""last"">Aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>              </div>              <blockquote>                <p>Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.</p>                <small class=""legend"">Вася Пупкин</small>              </blockquote>              <div class=""box"">                <p class=""last"">Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.</p>              </div>            </div>                        <!--  ################### -->            <hr />            <h2>Lists</h2>                        <!--  ################### -->            <h5>Basic lists</h5>            <div class=""span-8"">              <ul>                <li>Unordered list test</li>                <li>Another list element. Lorem ipsum dolor sit amet, consectetur adipisicing elit.</li>                <li>Yet another element in the list</li>                <li>Some long text. Lorem ipsum dolor sit amet, consectetur adipisicing elit. Lorem ipsum dolor sit amet, consectetur adipisicing elit.</li>              </ul>              <ol>                <li>Ordered list test</li>                <li>Another list element</li>                <li>Yet another element in the list</li>              </ol>            </div>                        <!--  ################### -->            <h5>Nested lists</h5>            <div class=""span-8"">              <ol>                <li>Ordered list</li>                <li>                  Here's a nested unordered list                  <ul>                    <li>Nested Unordered list</li>                    <li>                      Nested ordered list                      <ol>                        <li>The first</li>                        <li>And the second</li>                      </ol>                    </li>                  </ul>                </li>                <li>Ordered List item</li>                <li>                  Nested Ordered list                  <ol>                    <li>Some point</li>                    <li>                      Nested Unordered list                      <ul>                        <li>The first</li>                        <li>And the second</li>                      </ul>                    </li>                  </ol>                </li>              </ol>            </div>                        <!--  ################### -->            <h5>Definition list</h5>            <div class=""span-8 last"">              <dl>                <dt>definition list dt</dt>                <dd>definition list dd</dd>                <dt>definition list dt</dt>                <dd>definition list dd</dd>                <dt>Lorem ipsum dolor sit amet, consectetur adipisicing elit adipisicing elit adipisicing elit</dt>                <dd>Lorem ipsum dolor sit amet, consectetur adipisicing elit adipisicing elit adipisicing elit</dd>                <dt>Lorem ipsum dolor sit amet, consectetur adipisicing elit adipisicing elit adipisicing elit</dt>                <dd>Lorem ipsum dolor sit amet, consectetur adipisicing elit adipisicing elit adipisicing elit</dd>              </dl>            </div>                        <!--  ################### -->            <hr/>            <h2>Headings</h2>                        <!--  ################### -->            <div class=""span-8"">              <h1>H1: Lorem ipsum dolor sit amet</h1>              <h2>H2: Lorem ipsum dolor sit amet, consectetur elit</h2>              <h3>H3: Lorem ipsum dolor sit amet, consectetur adipisicing elit</h3>              <h4>H4: Lorem ipsum dolor sit amet, consectetur adipisicing elit adipis</h4>              <h5>H5: Lorem ipsum dolor sit amet, consectetur adipisicing elit adipisicing elit adipisicing elit</h5>              <h6>H6: Lorem ipsum dolor sit amet, consectetur adipisicing elit adipisicing elit adipisicing elit</h6>            </div>                        <!--  ################### -->            <br/>            <div class=""span-8"">              <h1>Heading 1</h1>              <hr/><h2>Heading 2</h2>              <hr/><h3>Heading 3</h3>              <hr/><h4>Heading 4</h4>              <hr/><h5>Heading 5</h5>              <hr/><h6>Heading 6</h6>            </div>                        <!--  ################### -->            <br/>            <div class=""span-8 last"">              <h1>Heading 1</h1>              <h2>Heading 2</h2>              <h3>Heading 3</h3>              <h4>Heading 4</h4>              <h5>Heading 5</h5>              <h6>Heading 6</h6>            </div>            <br/>                        <!--  ################### -->            <hr/>            <h2>Misc elements</h2>                        <!--  ################### -->            <div class=""span-8"">              <p>                <strong>&lt;strong&gt;</strong>                <br>                <del>&lt;del&gt; deleted</del>                <br>                <dfn>&lt;dfn&gt; dfn</dfn>                <br>                <em>&lt;em&gt; emphasis</em>              </p>              <p>                <a>&lt;a&gt; anchor</a>                <br>                <a href=""http://www.google.com"">&lt;a&gt; a + href</a>              </p>              <p>                <abbr title=""extended abbr text should show when mouse over"">&lt;abbr&gt; abbr - extended text when mouseover.</abbr>                <br>                <acronym title=""extended acronym text should show when mouse over"">&lt;acronym&gt; acronym - extended text when mouseover.</acronym>              </p>              <address>                &lt;address&gt;                <br>                Donald Duck                <br>                Box 555                <br> Disneyland</address>              <p>Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore dolore.</p>            </div>            <div class=""span-8"">              <table cellspacing=""0"" cellpadding=""0"" border=""0"" summary=""This is the summary text for this table."">                <caption>                  <em>A standard test table with a caption, tr, td elements</em>                </caption>                <tbody>                  <tr>                    <th class=""span-4"">Table Header One</th>                    <th class=""span-4 last"">Table Header Two</th>                  </tr>                  <tr>                    <td>TD One</td>                    <td>TD Two</td>                  </tr>                  <tr>                    <td colspan=""2"">TD colspan 2</td>                  </tr>                </tbody>              </table>              <table cellspacing=""0"" cellpadding=""0"" border=""0"" summary=""This is the summary text for this table."">                <caption>                  <em>A test table with a thead, tfoot, and tbody elements</em>                </caption>                <thead>                  <tr>                    <th class=""span-4"">Table Header One</th>                    <th class=""span-4 last"">Table Header Two</th>                  </tr>                </thead>                <tfoot>                  <tr>                    <td colspan=""2"">tfoot footer</td>                  </tr>                </tfoot>                <tbody>                  <tr>                    <td>TD One</td>                    <td>TD Two</td>                  </tr>                  <tr>                    <td>TD One</td>                    <td>TD Two</td>                  </tr>                </tbody>                <tbody>                  <tr>                    <td>TD One</td>                    <td>TD Two</td>                  </tr>                  <tr>                    <td>TD One</td>                    <td>TD Two</td>                  </tr>                </tbody>              </table>            </div>            <div class=""span-8 last"">              <p>Code, blocks of or just snippets inline, can be displayed with style just by wrapping in the right tag. For blocks of code spanning multiple lines, use the <code>&lt;pre&gt;</code> element. For inline code, use the <code>&lt;code&gt;</code> element.</p>              <pre>&lt;div&gt;    &lt;h1&gt;Heading&lt;/h1&gt;    &lt;p&gt;Something right here...&lt;/p&gt;&lt;/div&gt;</pre>            </div>                        <!--  ################### -->            <hr />            <h2>Media grid</h2>                        <!--  ################### -->            <ul class=""media-grid clearfix"">              <li><a href=""#""><img class=""thumbnail"" src=""http://placehold.it/90x90"" alt="""" /></a></li>              <li><a href=""#""><img class=""thumbnail"" src=""http://placehold.it/90x90"" alt="""" /></a></li>              <li><a href=""#""><img class=""thumbnail"" src=""http://placehold.it/90x90"" alt="""" /></a></li>              <li><a href=""#""><img class=""thumbnail"" src=""http://placehold.it/90x90"" alt="""" /></a></li>              <li><a href=""#""><img class=""thumbnail"" src=""http://placehold.it/90x90"" alt="""" /></a></li>              <li><a href=""#""><img class=""thumbnail"" src=""http://placehold.it/90x90"" alt="""" /></a></li>              <li><a href=""#""><img class=""thumbnail"" src=""http://placehold.it/90x90"" alt="""" /></a></li>              <li><a href=""#""><img class=""thumbnail"" src=""http://placehold.it/90x90"" alt="""" /></a></li>              <li><a href=""#""><img class=""thumbnail"" src=""http://placehold.it/90x90"" alt="""" /></a></li>            </ul>"
18,Общие сведения,obshchie-svedeniya,"<ul><li><a href=""/rukovodstvo"">Руководство</a></li><li><a href=""/node/23"">Структура</a></li><li><a href=""/node/122"">Контакты</a></li></ul>"
19,Законодательство,zakonodatelstvo,"<ul class=""menu""><li class=""first leaf menu-mlid-618""><a class=""mlid-618"" title="""" href=""/taxonomy/term/7/oblastnoe-zakonodatelstvo"">Областное законодательство</a></li><li class=""leaf menu-mlid-617""><a class=""mlid-617"" href=""/zakonodatelstvo/normativno-pravovye-akty"">Нормативные правовые акты, разработанные при участии Министерства социальных отношений</a></li><li class=""leaf menu-mlid-619""><a href=""/o-prinyatyh-normativno-pravovyh-aktah"">О принятых нормативно-правовых актах</a></li><li class=""last leaf menu-mlid-732""><a href=""/prouekty-dokumentov"">Проекты документов</a></li></ul>"
21,Программы,programmy,"<ul class=""menu""><li class=""first leaf menu-mlid-623""><a class=""mlid-623"" title="""" href=""http://minsoc74.ru/programmy/vedomstvennye-celevye"">Ведомственная целевая программа</a></li><li class=""last leaf menu-mlid-1259""><a class=""mlid-1259"" href=""http://minsoc74.ru/programmy/gosudarstvennaya-programma"">Государственные программа</a></li></ul>"
23,Структура,obshchie-svedeniya/struktura,"<p><img src=""/sites/default/files/struktura_1.jpg"" alt=""Структура"" title=""Структура"" width=""900"" height=""518"" /></p><p>&nbsp;</p><table border=""0"" cellspacing=""0"" cellpadding=""0""><tbody><tr><td colspan=""4"" valign=""top"" width=""638""><p><a href=""http://minsoc74.ru/rukovodstvo/ministr"">Министр социальных отношений Челябинской области И.В. Буторина&nbsp;</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td colspan=""3"" valign=""top"" width=""602""><p><a href=""http://minsoc74.ru/rukovodstvo/perviy-zam-ministra"">Первый заместитель Министра Скалунова Ирина Георгиевна</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td colspan=""2"" valign=""top"" width=""565""><p><a href=""http://minsoc74.ru/rukovodstvo/upr-soc-obslug"">Управление социального обслуживания</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""527""><p><a href=""http://minsoc74.ru/rukovodstvo/stacionar"">Отдел организации социального обслуживания</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""527""><p><a href=""http://minsoc74.ru/rukovodstvo/oospn"">Отдел организации социальной поддержки населения</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""527""><p><a href=""http://minsoc74.ru/rukovodstvo/kapremont"">Отдел организации капитального ремонта, охраны труда и пожарной безопасности</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td colspan=""2"" valign=""top"" width=""565""><p><a href=""http://minsoc74.ru/rukovodstvo/upr-soc-razvitiya"">Управление социального развития</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""527""><p><a href=""http://minsoc74.ru/rukovodstvo/opeka"">Отдел организации работы по опеке и попечительству</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""527""><p><a href=""http://minsoc74.ru/rukovodstvo/semya"">Отдел организации социальной защиты семьи и детей</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""527""><p><a href=""http://minsoc74.ru/rukovodstvo/orid"">Отдел организационной и контрольной работы</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td colspan=""2"" valign=""top"" width=""565""><p><a href=""http://minsoc74.ru/rukovodstvo/iao"">Отдел по взаимодействию с некоммерческими организациями и экспертоно-аналитической работы</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td colspan=""2"" valign=""top"" width=""565""><p><a href=""http://minsoc74.ru/rukovodstvo/aho"">Общий отдел</a></p><p>&nbsp;</p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td colspan=""3"" valign=""top"" width=""602""><p><a href=""http://minsoc74.ru/rukovodstvo/zam-ministra-1"">Заместитель Министра</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td colspan=""2"" valign=""top"" width=""565""><p><a href=""http://minsoc74.ru/rukovodstvo/upr-gos-posobii-i-pto"">Управление государственных пособий и сопровождения информационных проектов</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""527""><p><a href=""http://minsoc74.ru/rukovodstvo/posobiya"">Отдел организации назначения государственных пособий</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""527""><p><a href=""http://minsoc74.ru/rukovodstvo/viplata"">Отдел организации выплаты социальных пособий и компенсаций</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""527""><p><a href=""http://minsoc74.ru/rukovodstvo/opto"">Отдел организации сопровождения информационных проектов</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td colspan=""2"" valign=""top"" width=""565""><p><a href=""http://minsoc74.ru/rukovodstvo/upr-socialnyh-garantiy-i-lgot"">Управление социальных гарантий и льгот</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""527""><p><a href=""http://minsoc74.ru/rukovodstvo/metodologiya"">Отдел методологии мер социальной поддержки</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""527""><p><a href=""http://minsoc74.ru/rukovodstvo/subsidii"">Отдел организации работы по жилищным субсидиям и предоставлению гарантий гражданам, пострадавшим от воздействия радиации</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""527""><p><a href=""http://minsoc74.ru/rukovodstvo/ori"">Отдел реабилитации инвалидов</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""527""><p><a href=""http://minsoc74.ru/rukovodstvo/socpodderzhka"">Отдел организации предоставления мер социальной поддержки</a></p><p>&nbsp;</p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td colspan=""3"" valign=""top"" width=""602""><p><a href=""http://minsoc74.ru/rukovodstvo/zam-ministra-2"">Заместитель Министра Т.В. Зисман</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td colspan=""2"" valign=""top"" width=""565""><p><a href=""http://minsoc74.ru/rukovodstvo/upr-fin-obespech-i-kontr"">Управление финансового обеспечения и контроля за расходованием средств</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""527""><p><a href=""http://minsoc74.ru/rukovodstvo/planovii-otdel"">Отдел планирования расходов и бюджетного финансирования</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""527""><p><a href=""http://minsoc74.ru/rukovodstvo/kro"">Контрольно-ревизионный отдел</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td colspan=""2"" valign=""top"" width=""565""><p><a href=""http://minsoc74.ru/rukovodstvo/upr-gos-zakupok"">Управление контрактных отношений в сфере государственных закупок</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""527""><p><a href=""http://minsoc74.ru/rukovodstvo/zakupki"">Отдел планирования и организации проведения государственных закупок</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""38""><p>&nbsp;</p></td><td valign=""top"" width=""527""><p><a href=""http://minsoc74.ru/rukovodstvo/kontrakty"">Отдел контрактных отношений</a></p><p>&nbsp;</p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td colspan=""3"" valign=""top"" width=""602""><p><a href=""http://minsoc74.ru/rukovodstvo/buhgalteriya"">Отдел бухгалтерского учета и исполнения бюджета</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td colspan=""3"" valign=""top"" width=""602""><p><a href=""http://minsoc74.ru/rukovodstvo/kadry"">Отдел государственной службы&nbsp;и кадров</a>&nbsp;</p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td colspan=""3"" valign=""top"" width=""602""><p><a href=""http://minsoc74.ru/rukovodstvo/uristy"">Юридический отдел</a></p></td></tr><tr><td valign=""top"" width=""36""><p>&nbsp;</p></td><td colspan=""3"" valign=""top"" width=""602""><p><a href=""http://minsoc74.ru/rukovodstvo/mobiliz"">Служба по мобилизационной работе</a></p></td></tr><tr><td valign=""top"" width=""36"">&nbsp;</td><td colspan=""3"" valign=""top"" width=""602""><p><a href=""http://minsoc74.ru/rukovodstvo/press"">Пресс-служба</a></p></td></tr><tr><td valign=""top"" width=""36"">&nbsp;</td><td colspan=""3"" valign=""top"" width=""602""><p><a href=""http://minsoc74.ru/rukovodstvo/bezopasn"">Служба информационной безопасности</a></p></td></tr></tbody></table><p>&nbsp;</p>"
